数据源类型,名称,英文名称,影响因子/权威性,领域覆盖,主要内容,来源机构/出版社,备注
顶级综合期刊,Radiology,Radiology,17.6,神经影像学、全身影像学,脑部疾病的MRI、CT诊断，功能影像与人工智能辅助诊断,北美放射学会(RSNA),影像医学界历史最悠久、影响力最深远的期刊之一
顶级综合期刊,Stroke,Stroke,8.9,脑血管疾病,脑循环及其疾病的临床和基础研究，包括卒中、脑血管畸形等,美国心脏协会/美国卒中协会(AHA/ASA),脑血管领域权威期刊
顶级综合期刊,Neurology,Neurology,9.0,神经内科疾病,神经系统疾病的基础和临床研究，包括癫痫、多发性硬化等,美国神经病学学会(AAN),临床神经病学领域顶级期刊
顶级综合期刊,Brain,Brain,11.7,临床神经病学、转化神经科学,从阐明疾病机制到新型临床试验的研究,牛津大学出版社,神经科学领域权威期刊
顶级综合期刊,JAMA Neurology,JAMA Neurology,21.4,神经病学,神经系统疾病的临床研究和综述,美国医学会(JAMA),高影响力医学期刊
顶级综合期刊,Lancet Neurology,Lancet Neurology,45.5,神经病学,神经临床实践的原创研究和评论,柳叶刀出版集团,全球顶级医学期刊之一
顶级综合期刊,Nature Reviews Neurology,Nature Reviews Neurology,33.1,神经病学,神经学领域研究亮点、评论和观点,自然出版集团,高影响力综述期刊
神经影像学专科期刊,American Journal of Neuroradiology,American Journal of Neuroradiology,8.1,神经影像学,脑血管、神经影像、影像技术,美国神经放射学会(ASNR),神经影像学领域权威期刊
神经影像学专科期刊,Magnetic Resonance in Medicine,Magnetic Resonance in Medicine,3.9,磁共振医学,MRI技术原理、方法和临床应用,国际磁共振医学学会(ISMRM),MRI技术领域权威期刊
神经影像学专科期刊,Journal of Neuroimaging,Journal of Neuroimaging,2.4,神经影像学,神经影像学研究和临床应用,美国神经影像学学会,神经影像学研究期刊
神经影像学专科期刊,Clinical Neuroradiology,Clinical Neuroradiology,2.7,临床神经放射学,脑血管、神经、卒中的影像学诊断,欧洲神经放射学会(ESNR),临床神经放射学专业期刊
神经影像学专科期刊,Journal of Neuroradiology,Journal of Neuroradiology,2.0,神经放射学,神经放射学临床和基础研究,法国神经放射学会,欧洲神经放射学期刊
神经肿瘤学专科期刊,Neuro-Oncology,Neuro-Oncology,13.4,神经肿瘤学,神经肿瘤学所有领域的研究,美国神经肿瘤学会(SNO),神经肿瘤领域权威期刊
神经介入专科期刊,Journal of NeuroInterventional Surgery,JNIS,4.5,神经介入外科,神经介入技术治疗神经血管疾病,BMJ出版集团,神经介入领域权威期刊
精神病学与神经影像期刊,Frontiers in Psychiatry,Frontiers in Psychiatry,3.2,精神病学、神经影像,精神分裂症、抑郁症、双相障碍的神经影像研究,Frontiers出版社,精神病学领域期刊
神经病学与神经影像期刊,Frontiers in Neurology,Frontiers in Neurology,2.8,神经病学、神经影像,神经学中的人工智能应用、神经影像、卒中与血管神经病学,Frontiers出版社,神经病学领域期刊
阿尔茨海默病专科期刊,Alzheimers & Dementia,Alzheimers & Dementia,11.1,神经退行性疾病,阿尔茨海默病、痴呆的研究,阿尔茨海默病协会,痴呆研究领域权威期刊
神经病理学专科期刊,Acta Neuropathologica,Acta Neuropathologica,9.3,神经病理学,神经系统疾病病理学和发病机制,施普林格出版社,神经病理学领域权威期刊
神经内外科综合期刊,JNNP,Journal of Neurology, Neurosurgery & Psychiatry,8.2,神经内外科、精神病学,中风、多发性硬化、帕金森、癫痫等常见疾病,BMJ出版集团,百年历史的神经内外科顶级期刊
中国脑血管病期刊,中国卒中杂志,Chinese Journal of Stroke,-,脑血管疾病,脑血管疾病的预防、治疗、康复研究,中国卒中学会,国内脑血管领域权威期刊
中国神经影像学期刊,磁共振成像,Chinese Journal of Magnetic Resonance Imaging,-,磁共振成像,磁共振成像技术和临床应用研究,中国医院协会,国内磁共振领域权威期刊
中国神经病学期刊,中华神经科杂志,Chinese Journal of Neurology,-,神经病学,神经系统疾病的临床和基础研究,中华医学会神经病学分会,国内神经病学领域权威期刊
医学指南,脑血管病防治指南（2024年版）,Guidelines for Prevention and Treatment of Cerebrovascular Diseases (2024 Edition),国家卫健委权威发布,脑血管疾病,脑血管病的定义、急救、预防，缺血性卒中、脑出血等临床管理,国家卫生健康委员会,2024年12月发布，由国家神经疾病医学中心牵头编写
医学指南,中国脑血管病影像学应用指南,Chinese Guidelines for Imaging Application in Cerebrovascular Diseases,中华医学会权威发布,脑血管疾病影像学,CT、MRI等影像技术在脑血管病诊断、疗效评价中的应用,中华医学会神经病学分会,2016版，脑血管病影像应用权威指南
医学指南,急性缺血性卒中诊治指南,Chinese Guidelines for Diagnosis and Treatment of Acute Ischemic Stroke,中华医学会权威发布,缺血性卒中,急性缺血性卒中的诊断、治疗、康复,中华医学会神经病学分会,2021年发布
医学指南,脑小血管病诊疗中国专家共识,Chinese Expert Consensus on Diagnosis and Treatment of Cerebral Small Vessel Disease,中国专家共识,脑小血管病,脑小血管病的诊断、治疗和管理,中华医学会神经病学分会,2020年发布
医学指南,中国癫痫性猝死预防指南（2025版）,Chinese Guidelines for Prevention of Sudden Unexpected Death in Epilepsy (2025),中国专家共识,癫痫,癫痫性猝死的预防措施和管理,中国抗癫痫协会,2025年发布
医学指南,帕金森病认知障碍的诊断、评估和管理共识,Consensus Recommendations for Diagnosis, Assessment and Management of Cognitive Impairment in Parkinson's Disease,国际专家共识,帕金森病,帕金森病认知障碍的诊断、评估和管理,国际帕金森病协会,2025年发布
医学指南,多发性硬化的规范化评估专家建议,Expert Recommendations for Standardized Assessment of Multiple Sclerosis,中国专家共识,多发性硬化,多发性硬化的诊断标准、病情评估和治疗,泛长三角多发性硬化诊疗协作组,2023年发布
医学指南,2023 AHA/ASA指南：动脉瘤性蛛网膜下腔出血患者的管理,2023 AHA/ASA Guidelines for the Management of Patients With Aneurysmal Subarachnoid Hemorrhage,AHA/ASA权威发布,蛛网膜下腔出血,动脉瘤性蛛网膜下腔出血的诊断、治疗和管理,美国心脏协会/美国卒中协会,2023年发布
医学指南,2023 ESO指南：烟雾血管病,2023 ESO Guidelines for Moyamoya Disease,ESO权威发布,烟雾病,烟雾血管病的诊断和治疗,欧洲卒中组织(ESO),2023年发布
医学指南,2025 ESO指南：卒中后康复系列指南,2025 ESO Guidelines for Stroke Rehabilitation,ESO权威发布,卒中康复,失语症康复、运动康复、视力障碍康复,欧洲卒中组织(ESO),2025年发布
医学指南,2022 AHA/ASA指南：自发性脑出血患者的管理,2022 AHA/ASA Guidelines for the Management of Patients With Spontaneous Intracerebral Hemorrhage,AHA/ASA权威发布,脑出血,自发性脑出血的诊断和治疗,美国心脏协会/美国卒中协会,2022年发布
医学教材,奥斯本脑部疾病影像诊断、病理与解剖（原著第3版）,Osborn's Brain: Imaging, Pathology and Anatomy, 3rd Edition,经典权威教材,脑部疾病影像学,全面系统覆盖脑部疾病，病理与影像图像结合,爱思唯尔(Elsevier),神经影像领域经典巨著
医学教材,奥斯本脑部影像诊断学精要,Osborn's Brain: Essentials of Brain Imaging,经典权威教材,脑部疾病影像学,《Osborn's Brain》精简版，适合快速学习,爱思唯尔(Elsevier),神经影像领域实用指南
医学教材,神经影像学要点：MRI与CT,Neuroradiology: The Essentials with MR and CT,临床实用教材,神经影像学,脑部疾病的MRI和CT诊断要点,Thieme出版社,神经放射学临床实用教材
医学教材,脑部MRI教学案例集（I、II）,MRI of the Brain I & II,教学案例教材,脑部疾病影像学,100个实际病例，涵盖血管异常、出血、肿瘤等,Lippincott Williams & Wilkins,临床教学案例集
医学教材,人类神经影像学导论（第2版）,Introduction to Human Neuroimaging, 2nd Edition,基础教材,神经影像学基础,MRI原理、结构和功能成像、数据分析方法,Cambridge University Press,神经影像学入门教材
开放获取期刊平台,Europe PMC,Europe PMC,开放获取平台,综合医学,开放获取的生物医学文献，含全文XML,欧洲生物信息研究所(EBI),可获取开放获取全文
开放获取期刊平台,PubMed Central,PubMed Central,开放获取平台,综合医学,美国国立卫生研究院开放获取文献库,美国国立卫生研究院(NIH),可获取开放获取全文
开放获取期刊平台,PubMed,PubMed,文献检索平台,综合医学,生物医学文献检索，含摘要和部分全文,美国国立医学图书馆(NLM),最全面的生物医学文献数据库
